date, pm25, pm10, o3, no2, so2, co
2020/3/1, 114, 45, 25, 18, 6, 14
2020/3/2, 110, 56, 49, 27, 10, 14
2020/3/3, 141, 59, 70, 20, 14, 11
2020/3/4, 125, 57, 45, 15, 5, 8
2020/3/5, 122, 80, 45, 23, 7, 10
2020/3/6, 162, 76, 46, 21, 13, 9
2020/3/7, 140, 84, 47, 22, 14, 8
2020/3/8, 161, 46, 33, 11, 3, 5
2020/3/9, 93, 71, 38, 11, 4, 6
2020/3/10, 79, 64, 38, 22, 8, 9
2020/3/11, 100, 73, 26, 27, 12, 11
2020/3/12, 124, 59, 37, 14, 6, 5
2020/3/13, 82, 43, 38, 17, 2, 4
2020/3/14, 59, 56, 37, 25, 10, 11
2020/3/15, 89, 64, 41, 23, 11, 10
2020/3/16, 109, 64, 40, 26, 10, 10
2020/3/17, 105, 79, 44, 20, 11, 9
2020/3/18, 101, 94, 41, 15, 5, 7
2020/3/19, 83, 92, 49, 26, 10, 11
2020/3/20, 116, 84, 41, 23, 12, 9
2020/3/21, 120, 76, 55, 24, 19, 12
2020/3/22, 105, 69, 70, 22, 9, 10
2020/3/23, 112, 68, 76, 20, 9, 9
2020/3/24, 115, 69, 81, 17, 6, 9
2020/3/25, 136, 53, 34, 10, 2, 6
2020/3/26, 86, 46, 31, 16, 8, 6
2020/3/27, 97, 63, 9, 24, 11, 14
2020/3/28, 148, , , , , 
2020/2/1, 170, 55, 37, 8, 8, 10
2020/2/2, 129, 54, 39, 14, 13, 9
2020/2/3, 124, 78, 51, 19, 19, 12
2020/2/4, 165, 82, 28, 15, 20, 12
2020/2/5, 170, 63, 16, 13, 11, 13
2020/2/6, 157, 78, 27, 16, 18, 21
2020/2/7, 176, 109, 22, 17, 13, 23
2020/2/8, 212, 137, 42, 20, 20, 26
2020/2/9, 252, 106, 50, 21, 19, 20
2020/2/10, 199, 80, 43, 24, 32, 16
2020/2/11, 167, 80, 51, 24, 21, 14
2020/2/12, 166, 75, 55, 22, 16, 13
2020/2/13, 158, 72, 35, 6, 2, 5
2020/2/14, 78, 16, 31, 5, 3, 4
2020/2/15, 41, 16, 34, 6, 4, 3
2020/2/16, 47, 38, 37, 14, 13, 10
2020/2/17, 99, 53, 44, 19, 15, 11
2020/2/18, 130, 72, 45, 24, 16, 15
2020/2/19, 156, 101, 27, 25, 29, 13
2020/2/20, 160, 87, 35, 13, 9, 11
2020/2/21, 126, 59, 36, 15, 7, 7
2020/2/22, 81, 100, 41, 24, 13, 12
2020/2/23, 137, 94, 14, 35, 36, 18
2020/2/24, 166, 112, 44, 31, 35, 18
2020/2/25, 185, 79, 61, 16, 5, 13
2020/2/26, 147, 25, 25, 11, 2, 8
2020/2/27, 79, 74, 13, 19, 7, 20
2020/2/28, 158, 93, 20, 16, 4, 20
2020/2/29, 179, 70, 37, 15, 6, 13
2020/1/1, 168, 137, 10, 37, 41, 27
2020/1/2, 224, 180, 7, 49, 49, 37
2020/1/3, 289, 191, 4, 45, 48, 35
2020/1/4, 302, 113, 16, 33, 31, 25
2020/1/5, 219, 135, 8, 34, 31, 28
2020/1/6, 260, 139, 7, 30, 16, 34
2020/1/7, 267, 137, 20, 29, 28, 24
2020/1/8, 235, 163, 12, 35, 47, 25
2020/1/9, 273, 130, 16, 28, 21, 27
2020/1/10, 242, 93, 28, 21, 13, 21
2020/1/11, 190, 116, 18, 30, 20, 24
2020/1/12, 212, 74, 31, 21, 14, 16
2020/1/13, 154, 83, 21, 26, 32, 15
2020/1/14, 177, 158, 15, 39, 53, 23
2020/1/15, 272, 154, 16, 29, 22, 27
2020/1/16, 264, 182, 24, 30, 29, 33
2020/1/17, 304, 168, 13, 34, 20, 34
2020/1/18, 286, 111, 28, 26, 22, 26
2020/1/19, 196, 76, 24, 26, 18, 15
2020/1/20, 149, 84, 27, 27, 22, 16
2020/1/21, 161, 107, 26, 28, 22, 19
2020/1/22, 189, 171, 23, 31, 40, 25
2020/1/23, 284, 201, 59, 26, 43, 29
2020/1/24, 315, 280, 29, 21, 32, 32
2020/1/25, 394, 230, 31, 17, 36, 28
2020/1/26, 347, 62, 35, 10, 12, 11
2020/1/27, 156, 115, 28, 17, 21, 22
2020/1/28, 216, 103, 39, 17, 22, 19
2020/1/29, 210, 71, 41, 16, 17, 14
2020/1/30, 162, 87, 48, 20, 22, 16
2020/1/31, 179, 83, 32, 21, 39, 14
2019/10/1, 124, 65, 101, 16, 4, 9
2019/10/2, 117, 66, 43, 22, 6, 12
2019/10/3, 123, 60, 23, 13, 6, 17
2019/10/4, 131, 29, 20, 12, 3, 7
2019/10/5, 69, 29, 22, 12, 2, 11
2019/10/6, 76, 67, 22, 17, 5, 14
2019/10/7, 138, 63, 40, 21, 6, 12
2019/10/8, 126, 39, 21, 20, 2, 10
2019/10/9, 89, 71, 22, 18, 5, 16
2019/10/10, 149, 82, 41, 20, 5, 15
2019/10/11, 158, 83, 54, 21, 5, 15
2019/10/12, 158, 80, 67, 20, 7, 14
